Feature,Importance
rsi_vs_nifty,0.05797176
macd_signal,0.057275243
ema_50,0.047509428
ema_cross,0.04579563
nifty_rsi,0.044197448
atr,0.044024665
rsi,0.043455474
macd_hist,0.043404084
volume_ratio,0.043027792
ticker_HDFCBANK.NS,0.04301905
lag_2,0.042678483
bb_lower,0.04199614
nifty_return_5d,0.041861735
ema_20,0.041282624
nifty_return_1d,0.040848263
macd,0.039610736
return_10d,0.037191585
bb_width,0.0370768
volume_ma,0.034478962
lag_1,0.034234896
pattern_strength,0.03321074
rel_strength_5d,0.032718047
return_1d,0.029812228
lag_3,0.023132613
rel_strength_1d,0.020185541
bb_upper,0.0
cdl_evening_star,0.0
cdl_shooting_star,0.0
cdl_morning_star,0.0
cdl_hammer,0.0
cdl_doji,0.0
return_5d,0.0
cdl_engulfing,0.0
nifty_above_ema,0.0
cdl_marubozu,0.0
cdl_3white_soldiers,0.0
pattern_count,0.0
ticker_INFY.NS,0.0
ticker_RELIANCE.NS,0.0
ticker_SBIN.NS,0.0
ticker_TCS.NS,0.0
